P9STGBS	1	I trust most people
P9STGBS	2	I'm cautious with others
P4STGBS	1	I believe the most important problem currently facing the country is Low salaries.
P4STGBS	2	I believe the most important problem currently facing the country is Employment instability.
P4STGBS	3	I believe the most important problem currently facing the country is Poverty.
P4STGBS	4	I believe the most important problem currently facing the country is Income inequality, social injustice.
P4STGBS	5	I believe the most important problem currently facing the country is Economy/Economic problems/financial problems.
P4STGBS	6	I believe the most important problem currently facing the country is Gas, fuel, scarcity, high prices.
P4STGBS	7	I believe the most important problem currently facing the country is Food scarcity.
P4STGBS	8	I believe the most important problem currently facing the country is Everything is very expensive.
P4STGBS	9	I believe the most important problem currently facing the country is Unemployment.
P4STGBS	10	I believe the most important problem currently facing the country is Inflation/rise in prices.
P4STGBS	11	I believe the most important problem currently facing the country is Transportation.
P4STGBS	12	I believe the most important problem currently facing the country is Energy problems.
P4STGBS	13	I believe the most important problem currently facing the country is Poor basic services (water, electricity, etc.).
P4STGBS	14	I believe the most important problem currently facing the country is Education problems.
P4STGBS	15	I believe the most important problem currently facing the country is Housing problems.
P4STGBS	16	I believe the most important problem currently facing the country is Health problems.
P4STGBS	17	I believe the most important problem currently facing the country is Environmental problems.
P4STGBS	18	I believe the most important problem currently facing the country is Global warming.
P4STGBS	19	I believe the most important problem currently facing the country is Pollution.
P4STGBS	20	I believe the most important problem currently facing the country is Lack of opportunities for youth.
P4STGBS	21	I believe the most important problem currently facing the country is Human rights violations.
P4STGBS	22	I believe the most important problem currently facing the country is Lack of freedom of expression.
P4STGBS	23	I believe the most important problem currently facing the country is State violence, state repression.
P4STGBS	24	I believe the most important problem currently facing the country is Terrorism.
P4STGBS	25	I believe the most important problem currently facing the country is Guerrilla warfare.
P4STGBS	26	I believe the most important problem currently facing the country is Crime/public security.
P4STGBS	27	I believe the most important problem currently facing the country is Violence/gangs.
P4STGBS	28	I believe the most important problem currently facing the country is Domestic violence.
P4STGBS	29	I believe the most important problem currently facing the country is Verbal abuse.
P4STGBS	30	I believe the most important problem currently facing the country is Drug trafficking.
P4STGBS	31	I believe the most important problem currently facing the country is Drug use.
P4STGBS	32	I believe the most important problem currently facing the country is Racial discrimination.
P4STGBS	33	I believe the most important problem currently facing the country is Border issues.
P4STGBS	34	I believe the most important problem currently facing the country is Conflicts with neighboring countries.
P4STGBS	35	I believe the most important problem currently facing the country is Corruption.
P4STGBS	36	I believe the most important problem currently facing the country is Political situation/political problems.
P4STGBS	37	I believe the most important problem currently facing the country is Immigrants.
P4STGBS	38	I believe the most important problem currently facing the country is Foreigners.
P4STGBS	39	I believe the most important problem currently facing the country is Not being able to be in my country.
P4STGBS	40	I believe the most important problem currently facing the country is Lack of concern for the elderly.
P4STGBS	41	I believe the most important problem currently facing the country is Lack of parks, recreational areas.
P4STGBS	42	I believe the most important problem currently facing the country is Dirtiness, lack of cleanliness.
P4STGBS	43	I believe the most important problem currently facing the country is Infrastructure.
P4STGBS	44	I believe the most important problem currently facing the country is Pandemic/Coronavirus/Covid-19.
P4STGBS	45	I believe the most important problem currently facing the country is Judicial system/justice.
P4STGBS	96	I believe the most important problem currently facing the country is Other.
P4STGBS	97	I believe the most important problem currently facing the country is None.
SEXO	1	I am a man.
SEXO	2	I am a woman.
P12ST	1	I think powerful groups govern for themselves.
P12ST	2	I think the country is governed for all citizens.
EDAD	20-21	I am between 20 and 21 years old.
P10STGBS	1	I prefer democracy over any other government
P10STGBS	2	I think authoritarian rule can be better sometimes
P10STGBS	3	Government type doesn't matter to me
P14ST.F	1	I trust banks a lot.
P14ST.F	2	I trust banks some.
P14ST.F	3	I trust banks little.
P14ST.F	4	I trust banks not at all.
P14ST.G	1	I trust radio a lot.
P14ST.G	2	I trust radio somewhat.
P14ST.G	3	I trust radio little.
P14ST.G	4	I do not trust radio.
P2ST	1	I think the country is progressing
P2ST	2	I believe the country is at a standstill
P14N.I	1	I trust social media a lot.
P14N.I	2	I trust social media some.
P14N.I	3	I trust social media little.
P14N.I	4	I have no trust in social media.
P13STGBS.B	1	I trust the police a lot.
P13STGBS.B	2	I trust the police some.
P13STGBS.B	3	I trust the police little.
P13STGBS.B	4	I have no trust in police.
P13ST.G	1	I trust political parties a lot.
P13ST.G	2	I trust political parties some.
P13ST.G	3	I trust political parties little.
P13ST.G	4	I have no trust in political parties.
P14ST.C	1	I trust trade unions a lot.
P14ST.C	2	I trust trade unions some.
P14ST.C	3	I trust trade unions little.
P14ST.C	4	I have no trust in trade unions.
P13ST.E	1	I trust the National Government a lot.
P13ST.E	2	I trust the National Government some.
P13ST.E	3	I trust the National Government little.
P13ST.E	4	I have no trust in Government.
P13ST.D	1	I trust the National Congress a lot.
P13ST.D	2	I trust the National Congress somewhat.
P13ST.D	3	I trust the National Congress very little.
P13ST.D	4	I have no trust in the National Congress.
P3N	1	I think society is all right as it is
P3N	2	I believe small changes can improve society
P3N	3	I think society needs deep reforms
P3N	4	I believe society must change radically
P14ST.H	1	I trust the printed press a lot.
P14ST.H	2	I trust the printed press some.
P14ST.H	3	I trust the printed press little.
P14ST.H	4	I have no trust in the printed press.
P13ST.H	1	I trust the electoral institution a lot.
P13ST.H	2	I trust the electoral institution some.
P13ST.H	3	I trust the electoral institution little.
P13ST.H	4	I have no trust in the electoral institution.
P14ST.E	1	I trust international companies a lot.
P14ST.E	2	I trust international companies some.
P14ST.E	3	I trust international companies little.
P14ST.E	4	I have no trust in international companies.
P14ST.D	1	I trust TV a lot.
P14ST.D	2	I trust TV some.
P14ST.D	3	I trust TV little.
P14ST.D	4	I trust TV not at all.
P13ST.F	1	I trust the Judiciary a lot.
P13ST.F	2	I trust the Judiciary some.
P13ST.F	3	I trust the Judiciary little.
P13ST.F	4	I have no trust in the Judiciary.
P14ST.B	1	I trust national companies a lot.
P14ST.B	2	I trust national companies some.
P14ST.B	3	I trust national companies little.
P14ST.B	4	I have no trust in national companies.
P7ST	1	I expect the economy to be much better.
P7ST	2	I think the economy will be a little better.
P7ST	3	I think the economy will stay the same.
P7ST	4	I expect the economy to be a little worse.
P7ST	5	I think the economy will be much worse.
P13ST.C	1	I trust the Church a lot.
